Reported,BTC Acquisitions,AVG BTC Cost,Acquisition Cost,BTC Holding
2024-04-23,97.85,66018,56460000,97.85
2024-05-09,19.87,64626,51280000,117.72
2024-06-10,23.35,68136,51980000,141.07
2024-07-01,20.20,61512,51240000,161.27
2024-07-08,42.47,58578,52490000,203.73
2024-07-16,21.88,57751,51260000,225.61
2024-07-22,20.38,71882,51470000,245.99
2024-08-13,57.10,59647,53440000,303.09
2024-08-29,57.27,60104,53440000,360.37
2024-09-10,38.46,54772,52110000,398.83
2024-10-01,107.91,64576,6970000,506.74
2024-10-03,23.97,60926,51460000,530.71
2024-10-07,108.79,62827,6750000,639.50
2024-10-11,109.00,61540,6710000,748.50
2024-10-15,106.98,62738,6710000,855.48
2024-10-16,5.91,65508,387120,861.39
2024-10-28,156.78,66613,10440000,1018.00
2024-11-19,124.12,91171,11320000,1142.00
2024-12-23,619.70,97644,6510000,1762.00
2025-02-17,269.43,98060,20420000,2031.00
2025-02-20,68.59,97108,6660000,2100.00
2025-02-25,135.00,96379,13010000,2235.00
2025-03-03,156.00,86636,13520000,2391.00
2025-03-05,497.00,89398,44430000,2888.00
2025-03-12,162.00,83628,13550000,3050.00
2025-03-18,150.00,83956,12510000,3200.00
2025-03-27,150.00,83412,12510000,3350.00
2025-03-31,696.00,97592,67880000,4046.00
2025-04-02,160.00,83711,13390000,4206.00
2025-04-14,319.00,82549,20330000,4525.00
2025-04-21,330.00,85665,82250000,4855.00
2025-04-24,145.00,93623,13580000,5000.00
2025-05-07,555.00,96134,53380000,5555.00
2025-05-12,1241.00,102119,126730000,6796.00
2025-05-19,1004.00,103873,104290000,7800.00